ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
cefuroxime and metronidazole,combinations of antibacterials,combinations of antibacterials,antibacterials for systemic use,antiinfectives for systemic use
dibunate,other cough suppressants in atc,"cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
technetium (99mtc) pentetic acid,"technetium (99mtc), inhalants",respiratory system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
diphtheria-hepatitis b-tetanus,"bacterial and viral vaccines, combined","bacterial and viral vaccines, combined",vaccines,antiinfectives for systemic use
magnesium hydroxide,other urologicals in atc,urologicals,urologicals,genito urinary system and sex hormones
potassium chloride,potassium,potassium supplements,mineral supplements,alimentary tract and metabolism drugs
cholinesterase,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
ergotamine,"ergot alkaloids, antimigraine",antimigraine preparations,analgesics,nervous system drugs
cineole,expectorants,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
"erythromycin, combinations",antiinfectives for treatment of acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals
levocetirizine,"piperazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
mafenide,"sulfonamides, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
hydrocortisone,corticosteroids for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
formoterol and budesonide,"adrenergics inhalants in combination with corticosteroids or other drugs, excl. anticholinergics","adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs
sorbitol,other irrigating solutions in atc,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
lipegfilgrastim,colony stimulating factors,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
fluvastatin,"hmg coa reductase inhibitors, plain lipid modifying drugs","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
yttrium (90y) citrate colloid,yttrium-90 antiinflammatory radiopharmaceuticals,antiinflammatory therapeutic radiopharmaceuticals,therapeutic radiopharmaceuticals,various drug classes in atc
cladribine,"purine analogs, antimetabolites antineoplastic",antimetabolites,antineoplastic agents,antineoplastic and immunomodulating agents
methyltestosterone,3-oxoandrosten (4) derivatives,androgens,sex hormones and modulators of the genital system,genito urinary system and sex hormones
daunorubicin,anthracyclines and related substances,cytotoxic antibiotics and related substances,antineoplastic agents,antineoplastic and immunomodulating agents
"phenacetin, combinations excl. psycholeptics",anilide analgesics and antipyretics,other analgesics and antipyretics in atc,analgesics,nervous system drugs
lysine,"amino acids, i.v. solution additive",i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
neostigmine,anticholinesterase parasympathomimetics,parasympathomimetics,other nervous system drugs in atc,nervous system drugs
misoprostol,prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
magnesium citrate,salt irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
fluoroethylcholine (18f),other diagnostic radiopharmaceuticals for tumour detection in atc,tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
oxybuprocaine,anesthetics for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals
remikiren,renin-inhibitors,other agents acting on the renin-angiotensin system in atc,agents acting on the renin-angiotensin system,cardiovascular system drugs
valsartan and amlodipine,angiotensin ii antagonists and calcium channel blockers,"angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
oseltamivir,"neuraminidase inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
almotriptan,"selective serotonin (5ht1) agonists, antimigraine drugs",antimigraine preparations,analgesics,nervous system drugs
enalapril and nitrendipine,ace inhibitors and calcium channel blockers,"ace inhibitors, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
pegteograstim,colony stimulating factors,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
lisinopril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
hydralazine,hydrazinophthalazine derivatives acting on arteriolar smooth muscle,"arteriolar smooth muscle, agents acting on",antihypertensives,cardiovascular system drugs
floctafenine,other analgesics and antipyretics in atc,other analgesics and antipyretics in atc,analgesics,nervous system drugs
pyrvinium,other antinematodals in atc,antinematodal agents,anthelmintics,"antiparasitic products, insecticides and repellents"
piprozolin,other drugs for bile therapy in atc,bile therapy drugs,bile and liver therapy drugs,alimentary tract and metabolism drugs
magaldrate,"antacids containing combinations and complexes of aluminium, calcium and magnesium compounds",antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
nicotinamide,other plain vitamin preparations in atc,other plain vitamin preparations in atc,vitamins,alimentary tract and metabolism drugs
phenacetin,anilide analgesics and antipyretics,other analgesics and antipyretics in atc,analgesics,nervous system drugs
tetracaine,anesthetics for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals
"rauwolfia alkaloids, whole root","rauwolfia alkaloids, centrally acting antiadrenergic","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
butorphanol,"morphinan derivatives, opiod analgesics",opioid analgesics,analgesics,nervous system drugs
oblimersen,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
"tixocortol, combinations",corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
moxonidine,imidazoline receptor agonists,"antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
lornoxicam,"oxicams, antiinflammatory and antirheumatic drugs","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
ephedrine,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
technetium (99mtc) stannous agent labelled cells,"technetium 99m compounds, cardiovascular system diagnostic radiopharmaceuticals",cardiovascular system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
reslizumab,other systemic drugs for obstructive airway diseases in atc,other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
dibenzepin,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
bietaserpine,"rauwolfia alkaloids, centrally acting antiadrenergic","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
brompheniramine,"substituted alkylamines, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
perphenazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
ferumoxsil,superparamagnetic contrast media,magnetic resonance imaging contrast media,contrast media,various drug classes in atc
kaolin,other intestinal adsorbents in atc,intestinal adsorbents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
masitinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
quassia,"other ectoparasiticides, incl. scabicides in atc","ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
mepyramine theophyllinacetate,"xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
phenoxybenzamine,other peripheral vasodilators in atc,peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
ibuprofen,other throat preparations in atc,throat preparations,throat preparations,respiratory system drugs
